age,gender,race,angry,disgust,fear,happy,sad,surprise,neutral
35,Man,white,2,0,1,0,4,0,29
31,Man,white,13,0,5,8,84,0,139
40,Man,white,3,0,0,0,19,0,8
30,Man,white,61,0,46,1,112,4,78
38,Man,white,26,0,1,14,7,11,25
35,Man,white,24,0,1,3,3,3,93
37,Man,white,1,0,0,0,0,0,5
35,Man,white,1,0,0,0,1,0,4
36,Man,white,0,0,0,0,0,0,3
34,Man,white,0,0,0,0,0,0,1
39,Man,white,0,0,0,0,0,0,8
39,Man,white,3,0,0,0,0,0,7
51,Man,white,1,0,1,0,0,0,32
51,Man,white,0,0,1,0,0,0,17
50,Man,white,0,0,1,0,4,0,54
51,Man,white,0,0,0,0,1,0,133
35,Man,black,0,0,0,0,0,0,18
33,Woman,white,0,0,2,1,0,2,0
33,Woman,white,4,0,4,6,1,7,2
34,Man,black,0,0,0,0,0,2,29
33,Man,white,53,0,1,2,0,0,5
28,Man,white,9,0,0,0,2,0,0
40,Man,white,0,0,0,0,13,0,26
30,Man,white,13,0,3,0,19,10,0
37,Man,white,2,0,0,0,0,0,4
39,Man,white,1,0,0,0,1,0,5
27,Man,white,15,0,0,0,0,1,98
42,Man,white,103,0,0,0,0,0,2
35,Man,white,6,0,0,0,0,0,7
34,Woman,white,0,0,0,0,0,1,0
32,Man,asian,0,0,0,0,0,0,29
35,Man,white,6,0,3,4,3,1,9
36,Man,white,45,2,9,26,18,2,60
40,Man,white,8,0,2,2,2,0,18
34,Man,white,1,0,0,0,0,0,75
46,Man,white,44,0,0,0,0,0,0
28,Man,white,0,0,0,0,0,0,37
25,Man,asian,0,0,1,0,0,0,36
48,Man,white,0,0,0,0,0,0,21
